Year,Sex,Age,Population,Age-Group
1971,Males,0,133347,00-04
1972,Males,0,136987,00-04
1973,Males,0,129492,00-04
1974,Males,0,124803,00-04
1975,Males,0,120678,00-04
1976,Males,0,115457,00-04
1977,Males,0,115298,00-04
1978,Males,0,115249,00-04
1979,Males,0,113443,00-04
1980,Males,0,114488,00-04
1981,Males,0,117842,00-04
1982,Males,0,121129,00-04
1983,Males,0,123761,00-04
1984,Males,0,122309,00-04
1985,Males,0,123187,00-04
1986,Males,0,122376,00-04
1987,Males,0,124069,00-04
1988,Males,0,125702,00-04
1989,Males,0,127847,00-04
1990,Males,0,131758,00-04
1991,Males,0,132946,00-04
1992,Males,0,132385,00-04
1993,Males,0,132575,00-04
1994,Males,0,132124,00-04
1995,Males,0,132269,00-04
1996,Males,0,130388,00-04
1997,Males,0,130109,00-04
1998,Males,0,127895,00-04
1999,Males,0,128409,00-04
2000,Males,0,128561,00-04
2001,Males,0,129011,00-04
2002,Males,0,127625,00-04
2003,Males,0,127686,00-04
2004,Males,0,129525,00-04
2005,Males,0,132477,00-04
2006,Males,0,136681,00-04
2007,Males,0,145930,00-04
2008,Males,0,149299,00-04
2009,Males,0,151627,00-04
2010,Males,0,152773,00-04
2011,Males,0,149027,00-04
2012,Males,0,156689,00-04
2013,Males,0,159365,00-04
2014,Males,0,157172,00-04
2015,Males,0,158281,00-04
2016,Males,0,164034,00-04
2017,Males,0,157582,00-04
2018,Males,0,155693,00-04
2019,Males,0,155909,00-04
2020,Males,0,152351,00-04
2021,Males,0,153352,00-04
1971,Males,1,127834,00-04
1972,Males,1,134232,00-04
1973,Males,1,137057,00-04
1974,Males,1,130161,00-04
1975,Males,1,125807,00-04
1976,Males,1,119694,00-04
1977,Males,1,115936,00-04
1978,Males,1,115587,00-04
1979,Males,1,115402,00-04
1980,Males,1,113943,00-04
1981,Males,1,115397,00-04
1982,Males,1,118804,00-04
1983,Males,1,121591,00-04
1984,Males,1,123927,00-04
1985,Males,1,122572,00-04
1986,Males,1,123947,00-04
1987,Males,1,123655,00-04
1988,Males,1,125202,00-04
1989,Males,1,126870,00-04
1990,Males,1,128771,00-04
1991,Males,1,132272,00-04
1992,Males,1,133314,00-04
1993,Males,1,132178,00-04
1994,Males,1,132531,00-04
1995,Males,1,132458,00-04
1996,Males,1,132662,00-04
1997,Males,1,130955,00-04
1998,Males,1,130678,00-04
1999,Males,1,128553,00-04
2000,Males,1,129355,00-04
2001,Males,1,129860,00-04
2002,Males,1,129677,00-04
2003,Males,1,128410,00-04
2004,Males,1,128539,00-04
2005,Males,1,130491,00-04
2006,Males,1,133184,00-04
2007,Males,1,138494,00-04
2008,Males,1,146337,00-04
2009,Males,1,149254,00-04
2010,Males,1,150573,00-04
2011,Males,1,151366,00-04
2012,Males,1,151351,00-04
2013,Males,1,157765,00-04
2014,Males,1,160025,00-04
2015,Males,1,158130,00-04
2016,Males,1,160005,00-04
2017,Males,1,164284,00-04
2018,Males,1,158074,00-04
2019,Males,1,156059,00-04
2020,Males,1,155578,00-04
2021,Males,1,151580,00-04
1971,Males,2,129131,00-04
1972,Males,2,128856,00-04
1973,Males,2,135564,00-04
1974,Males,2,138038,00-04
1975,Males,2,130706,00-04
1976,Males,2,126940,00-04
1977,Males,2,120387,00-04
1978,Males,2,116767,00-04
1979,Males,2,116016,00-04
1980,Males,2,116036,00-04
1981,Males,2,115058,00-04
1982,Males,2,116828,00-04
1983,Males,2,119697,00-04
1984,Males,2,122051,00-04
1985,Males,2,124497,00-04
1986,Males,2,123396,00-04
1987,Males,2,125016,00-04
1988,Males,2,125422,00-04
1989,Males,2,126572,00-04
1990,Males,2,127912,00-04
1991,Males,2,129682,00-04
1992,Males,2,132943,00-04
1993,Males,2,133510,00-04
1994,Males,2,132283,00-04
1995,Males,2,132911,00-04
1996,Males,2,133031,00-04
1997,Males,2,133594,00-04
1998,Males,2,131804,00-04
1999,Males,2,131384,00-04
2000,Males,2,129357,00-04
2001,Males,2,130513,00-04
2002,Males,2,130585,00-04
2003,Males,2,130672,00-04
2004,Males,2,129222,00-04
2005,Males,2,129727,00-04
2006,Males,2,131752,00-04
2007,Males,2,135371,00-04
2008,Males,2,141116,00-04
2009,Males,2,147229,00-04
2010,Males,2,149392,00-04
2011,Males,2,150320,00-04
2012,Males,2,153940,00-04
2013,Males,2,154130,00-04
2014,Males,2,159012,00-04
2015,Males,2,161280,00-04
2016,Males,2,159736,00-04
2017,Males,2,161266,00-04
2018,Males,2,164674,00-04
2019,Males,2,159110,00-04
2020,Males,2,156519,00-04
2021,Males,2,155186,00-04
1971,Males,3,124442,00-04
1972,Males,3,129786,00-04
1973,Males,3,129748,00-04
1974,Males,3,137320,00-04
1975,Males,3,138640,00-04
1976,Males,3,131186,00-04
1977,Males,3,127286,00-04
1978,Males,3,121212,00-04
1979,Males,3,117652,00-04
1980,Males,3,116677,00-04
1981,Males,3,117110,00-04
1982,Males,3,116466,00-04
1983,Males,3,117729,00-04
1984,Males,3,120287,00-04
1985,Males,3,122753,00-04
1986,Males,3,125490,00-04
1987,Males,3,124744,00-04
1988,Males,3,126617,00-04
1989,Males,3,127405,00-04
1990,Males,3,127677,00-04
1991,Males,3,128732,00-04
1992,Males,3,130351,00-04
1993,Males,3,133363,00-04
1994,Males,3,133945,00-04
1995,Males,3,132706,00-04
1996,Males,3,133431,00-04
1997,Males,3,133966,00-04
1998,Males,3,134497,00-04
1999,Males,3,132706,00-04
2000,Males,3,132226,00-04
2001,Males,3,130450,00-04
2002,Males,3,131352,00-04
2003,Males,3,131470,00-04
2004,Males,3,131697,00-04
2005,Males,3,130419,00-04
2006,Males,3,131114,00-04
2007,Males,3,133673,00-04
2008,Males,3,137727,00-04
2009,Males,3,143766,00-04
2010,Males,3,147633,00-04
2011,Males,3,149673,00-04
2012,Males,3,152827,00-04
2013,Males,3,156387,00-04
2014,Males,3,156510,00-04
2015,Males,3,160379,00-04
2016,Males,3,162613,00-04
2017,Males,3,161466,00-04
2018,Males,3,162374,00-04
2019,Males,3,165220,00-04
2020,Males,3,159856,00-04
2021,Males,3,156241,00-04
1971,Males,4,124187,00-04
1972,Males,4,125060,00-04
1973,Males,4,130315,00-04
1974,Males,4,131039,00-04
1975,Males,4,138725,00-04
1976,Males,4,139021,00-04
1977,Males,4,131450,00-04
1978,Males,4,127671,00-04
1979,Males,4,121941,00-04
1980,Males,4,118752,00-04
1981,Males,4,117811,00-04
1982,Males,4,118483,00-04
1983,Males,4,117390,00-04
1984,Males,4,118338,00-04
1985,Males,4,121164,00-04
1986,Males,4,123811,00-04
1987,Males,4,126672,00-04
1988,Males,4,126465,00-04
1989,Males,4,128338,00-04
1990,Males,4,129113,00-04
1991,Males,4,128670,00-04
1992,Males,4,129422,00-04
1993,Males,4,130617,00-04
1994,Males,4,133895,00-04
1995,Males,4,134624,00-04
1996,Males,4,133253,00-04
1997,Males,4,134268,00-04
1998,Males,4,134972,00-04
1999,Males,4,135521,00-04
2000,Males,4,133722,00-04
2001,Males,4,133219,00-04
2002,Males,4,131324,00-04
2003,Males,4,132378,00-04
2004,Males,4,132519,00-04
2005,Males,4,132929,00-04
2006,Males,4,131725,00-04
2007,Males,4,132783,00-04
2008,Males,4,135773,00-04
2009,Males,4,140093,00-04
2010,Males,4,145951,00-04
2011,Males,4,148141,00-04
2012,Males,4,152415,00-04
2013,Males,4,155193,00-04
2014,Males,4,158489,00-04
2015,Males,4,158968,00-04
2016,Males,4,161505,00-04
2017,Males,4,164480,00-04
2018,Males,4,163104,00-04
2019,Males,4,163581,00-04
2020,Males,4,165618,00-04
2021,Males,4,159931,00-04
1971,Males,5,121353,00-04
1972,Males,5,124526,00-04
1973,Males,5,125532,00-04
1974,Males,5,131121,00-04
1975,Males,5,131976,00-04
1976,Males,5,139696,00-04
1977,Males,5,139433,00-04
1978,Males,5,131820,00-04
1979,Males,5,128090,00-04
1980,Males,5,122871,00-04
1981,Males,5,120391,00-04
1982,Males,5,119046,00-04
1983,Males,5,119229,00-04
1984,Males,5,117842,00-04
1985,Males,5,119123,00-04
1986,Males,5,122258,00-04
1987,Males,5,124870,00-04
1988,Males,5,128145,00-04
1989,Males,5,128065,00-04
1990,Males,5,129622,00-04
1991,Males,5,130514,00-04
1992,Males,5,129460,00-04
1993,Males,5,129752,00-04
1994,Males,5,131033,00-04
1995,Males,5,134659,00-04
1996,Males,5,135392,00-04
1997,Males,5,134314,00-04
1998,Males,5,135242,00-04
1999,Males,5,136038,00-04
2000,Males,5,136693,00-04
2001,Males,5,134855,00-04
2002,Males,5,133972,00-04
2003,Males,5,132379,00-04
2004,Males,5,133421,00-04
2005,Males,5,133784,00-04
2006,Males,5,134345,00-04
2007,Males,5,133356,00-04
2008,Males,5,134691,00-04
2009,Males,5,138209,00-04
2010,Males,5,142049,00-04
2011,Males,5,148229,00-04
2012,Males,5,150939,00-04
2013,Males,5,154963,00-04
2014,Males,5,157298,00-04
2015,Males,5,160578,00-04
2016,Males,5,161432,00-04
2017,Males,5,163485,00-04
2018,Males,5,166003,00-04
2019,Males,5,164712,00-04
2020,Males,5,164658,00-04
2021,Males,5,165088,00-04
1971,Males,6,123746,05-09
1972,Males,6,122135,05-09
1973,Males,6,124651,05-09
1974,Males,6,126272,05-09
1975,Males,6,131651,05-09
1976,Males,6,132502,05-09
1977,Males,6,140486,05-09
1978,Males,6,139894,05-09
1979,Males,6,132035,05-09
1980,Males,6,128596,05-09
1981,Males,6,124310,05-09
1982,Males,6,121746,05-09
1983,Males,6,119813,05-09
1984,Males,6,119753,05-09
1985,Males,6,118659,05-09
1986,Males,6,120252,05-09
1987,Males,6,123827,05-09
1988,Males,6,126337,05-09
1989,Males,6,129669,05-09
1990,Males,6,129364,05-09
1991,Males,6,130699,05-09
1992,Males,6,131286,05-09
1993,Males,6,129744,05-09
1994,Males,6,130104,05-09
1995,Males,6,131679,05-09
1996,Males,6,135623,05-09
1997,Males,6,136289,05-09
1998,Males,6,135422,05-09
1999,Males,6,136353,05-09
2000,Males,6,137163,05-09
2001,Males,6,137911,05-09
2002,Males,6,135635,05-09
2003,Males,6,134752,05-09
2004,Males,6,133404,05-09
2005,Males,6,134584,05-09
2006,Males,6,135142,05-09
2007,Males,6,135930,05-09
2008,Males,6,135031,05-09
2009,Males,6,136545,05-09
2010,Males,6,139854,05-09
2011,Males,6,144049,05-09
2012,Males,6,149781,05-09
2013,Males,6,153492,05-09
2014,Males,6,157033,05-09
2015,Males,6,158970,05-09
2016,Males,6,162362,05-09
2017,Males,6,163047,05-09
2018,Males,6,164811,05-09
2019,Males,6,167179,05-09
2020,Males,6,166038,05-09
2021,Males,6,164521,05-09
1971,Males,7,129162,05-09
1972,Males,7,124299,05-09
1973,Males,7,122663,05-09
1974,Males,7,125072,05-09
1975,Males,7,126756,05-09
1976,Males,7,131837,05-09
1977,Males,7,132940,05-09
1978,Males,7,141359,05-09
1979,Males,7,140035,05-09
1980,Males,7,132467,05-09
1981,Males,7,129610,05-09
1982,Males,7,125692,05-09
1983,Males,7,122592,05-09
1984,Males,7,120165,05-09
1985,Males,7,120305,05-09
1986,Males,7,119677,05-09
1987,Males,7,121448,05-09
1988,Males,7,125664,05-09
1989,Males,7,127639,05-09
1990,Males,7,130739,05-09
1991,Males,7,130389,05-09
1992,Males,7,131334,05-09
1993,Males,7,131608,05-09
1994,Males,7,130113,05-09
1995,Males,7,130724,05-09
1996,Males,7,132489,05-09
1997,Males,7,136295,05-09
1998,Males,7,137153,05-09
1999,Males,7,136566,05-09
2000,Males,7,137394,05-09
2001,Males,7,138465,05-09
2002,Males,7,138622,05-09
2003,Males,7,136299,05-09
2004,Males,7,135526,05-09
2005,Males,7,134560,05-09
2006,Males,7,135780,05-09
2007,Males,7,136453,05-09
2008,Males,7,137435,05-09
2009,Males,7,136688,05-09
2010,Males,7,137922,05-09
2011,Males,7,141402,05-09
2012,Males,7,145136,05-09
2013,Males,7,151078,05-09
2014,Males,7,155646,05-09
2015,Males,7,158801,05-09
2016,Males,7,160540,05-09
2017,Males,7,163950,05-09
2018,Males,7,164245,05-09
2019,Males,7,166053,05-09
2020,Males,7,168151,05-09
2021,Males,7,166236,05-09
1971,Males,8,131406,05-09
1972,Males,8,130160,05-09
1973,Males,8,124605,05-09
1974,Males,8,123557,05-09
1975,Males,8,125225,05-09
1976,Males,8,126865,05-09
1977,Males,8,132360,05-09
1978,Males,8,133356,05-09
1979,Males,8,141949,05-09
1980,Males,8,140508,05-09
1981,Males,8,133357,05-09
1982,Males,8,130889,05-09
1983,Males,8,126439,05-09
1984,Males,8,123157,05-09
1985,Males,8,120714,05-09
1986,Males,8,121177,05-09
1987,Males,8,121072,05-09
1988,Males,8,122839,05-09
1989,Males,8,127436,05-09
1990,Males,8,128628,05-09
1991,Males,8,131539,05-09
1992,Males,8,131269,05-09
1993,Males,8,131455,05-09
1994,Males,8,132015,05-09
1995,Males,8,130663,05-09
1996,Males,8,131525,05-09
1997,Males,8,133291,05-09
1998,Males,8,136860,05-09
1999,Males,8,138067,05-09
2000,Males,8,137841,05-09
2001,Males,8,138584,05-09
2002,Males,8,139173,05-09
2003,Males,8,139341,05-09
2004,Males,8,136954,05-09
2005,Males,8,136583,05-09
2006,Males,8,135941,05-09
2007,Males,8,137062,05-09
2008,Males,8,137974,05-09
2009,Males,8,139095,05-09
2010,Males,8,137848,05-09
2011,Males,8,139417,05-09
2012,Males,8,142746,05-09
2013,Males,8,146165,05-09
2014,Males,8,152080,05-09
2015,Males,8,157422,05-09
2016,Males,8,160537,05-09
2017,Males,8,162224,05-09
2018,Males,8,165301,05-09
2019,Males,8,165416,05-09
2020,Males,8,167183,05-09
2021,Males,8,168256,05-09
1971,Males,9,133232,05-09
1972,Males,9,132175,05-09
1973,Males,9,130914,05-09
1974,Males,9,125151,05-09
1975,Males,9,124136,05-09
1976,Males,9,125096,05-09
1977,Males,9,127239,05-09
1978,Males,9,132984,05-09
1979,Males,9,133684,05-09
1980,Males,9,142798,05-09
1981,Males,9,141435,05-09
1982,Males,9,134991,05-09
1983,Males,9,131657,05-09
1984,Males,9,126830,05-09
1985,Males,9,123763,05-09
1986,Males,9,121514,05-09
1987,Males,9,122346,05-09
1988,Males,9,122739,05-09
1989,Males,9,124229,05-09
1990,Males,9,128968,05-09
1991,Males,9,129277,05-09
1992,Males,9,132366,05-09
1993,Males,9,131612,05-09
1994,Males,9,131662,05-09
1995,Males,9,132589,05-09
1996,Males,9,131359,05-09
1997,Males,9,132324,05-09
1998,Males,9,133971,05-09
1999,Males,9,137560,05-09
2000,Males,9,139104,05-09
2001,Males,9,139283,05-09
2002,Males,9,139386,05-09
2003,Males,9,139830,05-09
2004,Males,9,140178,05-09
2005,Males,9,137930,05-09
2006,Males,9,137693,05-09
2007,Males,9,137471,05-09
2008,Males,9,138540,05-09
2009,Males,9,139449,05-09
2010,Males,9,140237,05-09
2011,Males,9,139108,05-09
2012,Males,9,140610,05-09
2013,Males,9,143922,05-09
2014,Males,9,146942,05-09
2015,Males,9,152876,05-09
2016,Males,9,159348,05-09
2017,Males,9,162212,05-09
2018,Males,9,163742,05-09
2019,Males,9,166650,05-09
2020,Males,9,166492,05-09
2021,Males,9,167492,05-09
1971,Males,10,133471,05-09
1972,Males,10,133957,05-09
1973,Males,10,132626,05-09
1974,Males,10,131836,05-09
1975,Males,10,125504,05-09
1976,Males,10,124377,05-09
1977,Males,10,125723,05-09
1978,Males,10,127565,05-09
1979,Males,10,133491,05-09
1980,Males,10,134242,05-09
1981,Males,10,144095,05-09
1982,Males,10,142881,05-09
1983,Males,10,136132,05-09
1984,Males,10,132104,05-09
1985,Males,10,127584,05-09
1986,Males,10,124677,05-09
1987,Males,10,122804,05-09
1988,Males,10,123716,05-09
1989,Males,10,124437,05-09
1990,Males,10,125259,05-09
1991,Males,10,130149,05-09
1992,Males,10,130279,05-09
1993,Males,10,132794,05-09
1994,Males,10,132099,05-09
1995,Males,10,132039,05-09
1996,Males,10,133354,05-09
1997,Males,10,132313,05-09
1998,Males,10,133074,05-09
1999,Males,10,134794,05-09
2000,Males,10,138319,05-09
2001,Males,10,140278,05-09
2002,Males,10,140222,05-09
2003,Males,10,140286,05-09
2004,Males,10,140515,05-09
2005,Males,10,141138,05-09
2006,Males,10,138961,05-09
2007,Males,10,139077,05-09
2008,Males,10,138998,05-09
2009,Males,10,140065,05-09
2010,Males,10,140433,05-09
2011,Males,10,141445,05-09
2012,Males,10,140316,05-09
2013,Males,10,141633,05-09
2014,Males,10,144888,05-09
2015,Males,10,147431,05-09
2016,Males,10,153699,05-09
2017,Males,10,161002,05-09
2018,Males,10,163625,05-09
2019,Males,10,165257,05-09
2020,Males,10,167933,05-09
2021,Males,10,166774,05-09
1971,Males,11,129064,10-14
1972,Males,11,134449,10-14
1973,Males,11,134367,10-14
1974,Males,11,133349,10-14
1975,Males,11,132542,10-14
1976,Males,11,125407,10-14
1977,Males,11,124857,10-14
1978,Males,11,126275,10-14
1979,Males,11,127886,10-14
1980,Males,11,134227,10-14
1981,Males,11,135250,10-14
1982,Males,11,145561,10-14
1983,Males,11,143815,10-14
1984,Males,11,136987,10-14
1985,Males,11,132693,10-14
1986,Males,11,128419,10-14
1987,Males,11,125889,10-14
1988,Males,11,124429,10-14
1989,Males,11,125054,10-14
1990,Males,11,125780,10-14
1991,Males,11,126022,10-14
1992,Males,11,130464,10-14
1993,Males,11,130735,10-14
1994,Males,11,133266,10-14
1995,Males,11,132734,10-14
1996,Males,11,132536,10-14
1997,Males,11,134032,10-14
1998,Males,11,133235,10-14
1999,Males,11,133872,10-14
2000,Males,11,135697,10-14
2001,Males,11,139153,10-14
2002,Males,11,140987,10-14
2003,Males,11,141088,10-14
2004,Males,11,141075,10-14
2005,Males,11,141440,10-14
2006,Males,11,142191,10-14
2007,Males,11,140352,10-14
2008,Males,11,140450,10-14
2009,Males,11,140505,10-14
2010,Males,11,141070,10-14
2011,Males,11,141421,10-14
2012,Males,11,142659,10-14
2013,Males,11,141323,10-14
2014,Males,11,142464,10-14
2015,Males,11,145602,10-14
2016,Males,11,148006,10-14
2017,Males,11,154997,10-14
2018,Males,11,162376,10-14
2019,Males,11,165109,10-14
2020,Males,11,166719,10-14
2021,Males,11,168391,10-14
1971,Males,12,128933,10-14
1972,Males,12,129900,10-14
1973,Males,12,135221,10-14
1974,Males,12,134982,10-14
1975,Males,12,133798,10-14
1976,Males,12,132985,10-14
1977,Males,12,126143,10-14
1978,Males,12,125292,10-14
1979,Males,12,126781,10-14
1980,Males,12,128391,10-14
1981,Males,12,135326,10-14
1982,Males,12,136512,10-14
1983,Males,12,146416,10-14
1984,Males,12,144437,10-14
1985,Males,12,138030,10-14
1986,Males,12,133542,10-14
1987,Males,12,129532,10-14
1988,Males,12,127243,10-14
1989,Males,12,126002,10-14
1990,Males,12,126110,10-14
1991,Males,12,126885,10-14
1992,Males,12,126760,10-14
1993,Males,12,130443,10-14
1994,Males,12,131383,10-14
1995,Males,12,133932,10-14
1996,Males,12,133523,10-14
1997,Males,12,133329,10-14
1998,Males,12,134760,10-14
1999,Males,12,134218,10-14
2000,Males,12,134730,10-14
2001,Males,12,136769,10-14
2002,Males,12,140249,10-14
2003,Males,12,141880,10-14
2004,Males,12,141899,10-14
2005,Males,12,141996,10-14
2006,Males,12,142338,10-14
2007,Males,12,143496,10-14
2008,Males,12,141786,10-14
2009,Males,12,141835,10-14
2010,Males,12,141551,10-14
2011,Males,12,142100,10-14
2012,Males,12,142619,10-14
2013,Males,12,143792,10-14
2014,Males,12,142156,10-14
2015,Males,12,143147,10-14
2016,Males,12,146382,10-14
2017,Males,12,149515,10-14
2018,Males,12,156165,10-14
2019,Males,12,163834,10-14
2020,Males,12,166462,10-14
2021,Males,12,167389,10-14
1971,Males,13,125823,10-14
1972,Males,13,129380,10-14
1973,Males,13,130461,10-14
1974,Males,13,136119,10-14
1975,Males,13,135430,10-14
1976,Males,13,133976,10-14
1977,Males,13,132969,10-14
1978,Males,13,126776,10-14
1979,Males,13,125642,10-14
1980,Males,13,127439,10-14
1981,Males,13,129174,10-14
1982,Males,13,136300,10-14
1983,Males,13,137246,10-14
1984,Males,13,146954,10-14
1985,Males,13,145209,10-14
1986,Males,13,139301,10-14
1987,Males,13,134500,10-14
1988,Males,13,130874,10-14
1989,Males,13,128475,10-14
1990,Males,13,127335,10-14
1991,Males,13,126926,10-14
1992,Males,13,127341,10-14
1993,Males,13,127233,10-14
1994,Males,13,130513,10-14
1995,Males,13,132149,10-14
1996,Males,13,134802,10-14
1997,Males,13,133667,10-14
1998,Males,13,134107,10-14
1999,Males,13,135456,10-14
2000,Males,13,135221,10-14
2001,Males,13,135823,10-14
2002,Males,13,137759,10-14
2003,Males,13,141362,10-14
2004,Males,13,142642,10-14
2005,Males,13,142902,10-14
2006,Males,13,142966,10-14
2007,Males,13,143253,10-14
2008,Males,13,144809,10-14
2009,Males,13,143094,10-14
2010,Males,13,142884,10-14
2011,Males,13,142585,10-14
2012,Males,13,143227,10-14
2013,Males,13,143726,10-14
2014,Males,13,144729,10-14
2015,Males,13,142825,10-14
2016,Males,13,143766,10-14
2017,Males,13,147444,10-14
2018,Males,13,150835,10-14
2019,Males,13,157295,10-14
2020,Males,13,165160,10-14
2021,Males,13,167050,10-14
1971,Males,14,123483,10-14
1972,Males,14,125790,10-14
1973,Males,14,129451,10-14
1974,Males,14,131033,10-14
1975,Males,14,136820,10-14
1976,Males,14,135543,10-14
1977,Males,14,134162,10-14
1978,Males,14,132926,10-14
1979,Males,14,127374,10-14
1980,Males,14,126166,10-14
1981,Males,14,128392,10-14
1982,Males,14,130305,10-14
1983,Males,14,136689,10-14
1984,Males,14,137778,10-14
1985,Males,14,147646,10-14
1986,Males,14,146263,10-14
1987,Males,14,140050,10-14
1988,Males,14,135588,10-14
1989,Males,14,132321,10-14
1990,Males,14,129508,10-14
1991,Males,14,128329,10-14
1992,Males,14,127400,10-14
1993,Males,14,127536,10-14
1994,Males,14,127778,10-14
1995,Males,14,130792,10-14
1996,Males,14,133145,10-14
1997,Males,14,134594,10-14
1998,Males,14,133849,10-14
1999,Males,14,134863,10-14
2000,Males,14,136164,10-14
2001,Males,14,136373,10-14
2002,Males,14,136594,10-14
2003,Males,14,138646,10-14
2004,Males,14,142256,10-14
2005,Males,14,143502,10-14
2006,Males,14,143929,10-14
2007,Males,14,143734,10-14
2008,Males,14,144263,10-14
2009,Males,14,146106,10-14
2010,Males,14,144081,10-14
2011,Males,14,143992,10-14
2012,Males,14,143631,10-14
2013,Males,14,144354,10-14
2014,Males,14,144701,10-14
2015,Males,14,145619,10-14
2016,Males,14,143595,10-14
2017,Males,14,144909,10-14
2018,Males,14,148372,10-14
2019,Males,14,152100,10-14
2020,Males,14,158447,10-14
2021,Males,14,165840,10-14
1971,Males,15,121058,10-14
1972,Males,15,123204,10-14
1973,Males,15,125464,10-14
1974,Males,15,129614,10-14
1975,Males,15,131456,10-14
1976,Males,15,137251,10-14
1977,Males,15,135343,10-14
1978,Males,15,134297,10-14
1979,Males,15,132834,10-14
1980,Males,15,128084,10-14
1981,Males,15,126968,10-14
1982,Males,15,128978,10-14
1983,Males,15,130981,10-14
1984,Males,15,136837,10-14
1985,Males,15,138450,10-14
1986,Males,15,148503,10-14
1987,Males,15,146926,10-14
1988,Males,15,140969,10-14
1989,Males,15,136892,10-14
1990,Males,15,133435,10-14
1991,Males,15,130302,10-14
1992,Males,15,128639,10-14
1993,Males,15,127650,10-14
1994,Males,15,127855,10-14
1995,Males,15,128512,10-14
1996,Males,15,131369,10-14
1997,Males,15,132687,10-14
1998,Males,15,134402,10-14
1999,Males,15,134080,10-14
2000,Males,15,135801,10-14
2001,Males,15,137235,10-14
2002,Males,15,137025,10-14
2003,Males,15,137316,10-14
2004,Males,15,139283,10-14
2005,Males,15,143415,10-14
2006,Males,15,144349,10-14
2007,Males,15,144669,10-14
2008,Males,15,144724,10-14
2009,Males,15,145578,10-14
2010,Males,15,147354,10-14
2011,Males,15,145265,10-14
2012,Males,15,145048,10-14
2013,Males,15,144829,10-14
2014,Males,15,145455,10-14
2015,Males,15,146014,10-14
2016,Males,15,147017,10-14
2017,Males,15,145151,10-14
2018,Males,15,146198,10-14
2019,Males,15,149512,10-14
2020,Males,15,153330,10-14
2021,Males,15,158840,10-14
1971,Males,16,116144,15-19
1972,Males,16,121321,15-19
1973,Males,16,122725,15-19
1974,Males,16,125265,15-19
1975,Males,16,129595,15-19
1976,Males,16,131532,15-19
1977,Males,16,136696,15-19
1978,Males,16,135068,15-19
1979,Males,16,134434,15-19
1980,Males,16,132827,15-19
1981,Males,16,129114,15-19
1982,Males,16,127725,15-19
1983,Males,16,129260,15-19
1984,Males,16,131368,15-19
1985,Males,16,137114,15-19
1986,Males,16,139242,15-19
1987,Males,16,149078,15-19
1988,Males,16,147866,15-19
1989,Males,16,142030,15-19
1990,Males,16,137988,15-19
1991,Males,16,134460,15-19
1992,Males,16,130628,15-19
1993,Males,16,128847,15-19
1994,Males,16,128039,15-19
1995,Males,16,128424,15-19
1996,Males,16,129630,15-19
1997,Males,16,130963,15-19
1998,Males,16,132324,15-19
1999,Males,16,134454,15-19
2000,Males,16,134581,15-19
2001,Males,16,137209,15-19
2002,Males,16,138034,15-19
2003,Males,16,137670,15-19
2004,Males,16,137918,15-19
2005,Males,16,140285,15-19
2006,Males,16,144793,15-19
2007,Males,16,145608,15-19
2008,Males,16,146068,15-19
2009,Males,16,146184,15-19
2010,Males,16,146978,15-19
2011,Males,16,148891,15-19
2012,Males,16,146915,15-19
2013,Males,16,146542,15-19
2014,Males,16,146302,15-19
2015,Males,16,147119,15-19
2016,Males,16,147904,15-19
2017,Males,16,149010,15-19
2018,Males,16,146762,15-19
2019,Males,16,147662,15-19
2020,Males,16,150511,15-19
2021,Males,16,153727,15-19
1971,Males,17,113982,15-19
1972,Males,17,116726,15-19
1973,Males,17,121378,15-19
1974,Males,17,122322,15-19
1975,Males,17,124758,15-19
1976,Males,17,129373,15-19
1977,Males,17,131533,15-19
1978,Males,17,136085,15-19
1979,Males,17,134883,15-19
1980,Males,17,134736,15-19
1981,Males,17,133197,15-19
1982,Males,17,130039,15-19
1983,Males,17,128245,15-19
1984,Males,17,129318,15-19
1985,Males,17,132021,15-19
1986,Males,17,137636,15-19
1987,Males,17,140106,15-19
1988,Males,17,149863,15-19
1989,Males,17,149281,15-19
1990,Males,17,143013,15-19
1991,Males,17,138828,15-19
1992,Males,17,134988,15-19
1993,Males,17,130840,15-19
1994,Males,17,129216,15-19
1995,Males,17,128725,15-19
1996,Males,17,129355,15-19
1997,Males,17,128875,15-19
1998,Males,17,130729,15-19
1999,Males,17,132458,15-19
2000,Males,17,135136,15-19
2001,Males,17,136086,15-19
2002,Males,17,138078,15-19
2003,Males,17,139072,15-19
2004,Males,17,138481,15-19
2005,Males,17,139338,15-19
2006,Males,17,141665,15-19
2007,Males,17,147205,15-19
2008,Males,17,148299,15-19
2009,Males,17,148062,15-19
2010,Males,17,147964,15-19
2011,Males,17,148744,15-19
2012,Males,17,151306,15-19
2013,Males,17,148965,15-19
2014,Males,17,148065,15-19
2015,Males,17,148067,15-19
2016,Males,17,149189,15-19
2017,Males,17,150364,15-19
2018,Males,17,150981,15-19
2019,Males,17,148388,15-19
2020,Males,17,148626,15-19
2021,Males,17,150525,15-19
1971,Males,18,114473,15-19
1972,Males,18,114838,15-19
1973,Males,18,117546,15-19
1974,Males,18,121828,15-19
1975,Males,18,121737,15-19
1976,Males,18,124321,15-19
1977,Males,18,129525,15-19
1978,Males,18,131859,15-19
1979,Males,18,135872,15-19
1980,Males,18,134991,15-19
1981,Males,18,135667,15-19
1982,Males,18,134199,15-19
1983,Males,18,130773,15-19
1984,Males,18,128749,15-19
