Year,Sex,AgeGroup,Count,ASR
2012,Females,60-64,552,89.5
2012,Females,65-69,562,109.3
2012,Females,70-74,432,112.4
2012,Females,75-79,393,128.9
2012,Females,80-84,349,138.2
2012,Females,85-89,289,165.6
2012,Females,90+,168,169.7
2013,Females,0-4,1,0.1
2013,Females,5-9,1,0.1
2013,Females,10-14,4,0.6
2013,Females,15-19,21,2.9
2013,Females,20-24,60,7.4
2013,Females,25-29,137,16
2013,Females,30-34,189,23
2013,Females,35-39,250,32.2
2013,Females,40-44,363,43.3
2013,Females,45-49,398,51.4
2013,Females,50-54,512,65.5
2013,Females,55-59,512,72.7
2013,Females,60-64,523,83.3
2013,Females,65-69,601,110.7
2013,Females,70-74,473,118.9
2013,Females,75-79,441,141.4
2013,Females,80-84,398,158.3
2013,Females,85-89,292,164.4
2013,Females,90+,180,172.1
2014,Females,0-4,1,0.1
2014,Females,5-9,0,0
2014,Females,10-14,1,0.1
2014,Females,15-19,19,2.7
2014,Females,20-24,62,7.6
2014,Females,25-29,118,13.5
2014,Females,30-34,185,21.8
2014,Females,35-39,220,28.3
2014,Females,40-44,381,45.3
2014,Females,45-49,439,56.2
2014,Females,50-54,535,67.7
2014,Females,55-59,500,69.5
2014,Females,60-64,559,87.2
2014,Females,65-69,660,117.3
2014,Females,70-74,522,125.6
2014,Females,75-79,458,142.3
2014,Females,80-84,376,150
2014,Females,85-89,279,155.2
2014,Females,90+,186,168.3
2015,Females,0-4,0,0
2015,Females,5-9,1,0.1
2015,Females,10-14,1,0.1
2015,Females,15-19,13,1.8
2015,Females,20-24,57,7
2015,Females,25-29,145,16.3
2015,Females,30-34,194,22.1
2015,Females,35-39,230,29.2
2015,Females,40-44,359,42.9
2015,Females,45-49,420,52.9
2015,Females,50-54,526,66.6
2015,Females,55-59,530,72.1
2015,Females,60-64,603,92.2
2015,Females,65-69,701,120.2
2015,Females,70-74,549,126.5
2015,Females,75-79,518,155.8
2015,Females,80-84,389,155.4
2015,Females,85-89,316,174.1
2015,Females,90+,172,148.9
2016,Females,0-4,2,0.3
2016,Females,5-9,0,0
2016,Females,10-14,1,0.1
2016,Females,15-19,22,3.1
2016,Females,20-24,59,7.1
2016,Females,25-29,150,16.5
2016,Females,30-34,216,23.9
2016,Females,35-39,278,34.5
2016,Females,40-44,345,42.1
2016,Females,45-49,451,55
2016,Females,50-54,505,64.3
2016,Females,55-59,556,73.9
2016,Females,60-64,643,96.4
2016,Females,65-69,769,127.3
2016,Females,70-74,624,137.6
2016,Females,75-79,516,150.4
2016,Females,80-84,377,149.2
2016,Females,85-89,349,190.7
2016,Females,90+,197,163.5
2017,Females,0-4,0,0
2017,Females,5-9,0,0
2017,Females,10-14,3,0.4
2017,Females,15-19,19,2.6
2017,Females,20-24,55,6.5
2017,Females,25-29,106,11.5
2017,Females,30-34,214,23.1
2017,Females,35-39,250,30
2017,Females,40-44,339,42
2017,Females,45-49,479,56.9
2017,Females,50-54,501,64.1
2017,Females,55-59,602,78.4
2017,Females,60-64,654,95.8
2017,Females,65-69,727,119.8
2017,Females,70-74,738,151.3
2017,Females,75-79,524,147.4
2017,Females,80-84,393,151.6
2017,Females,85-89,316,172.7
2017,Females,90+,198,158.5
2018,Females,0-4,0,0
2018,Females,5-9,0,0
2018,Females,10-14,3,0.4
2018,Females,15-19,18,2.5
2018,Females,20-24,61,7.2
2018,Females,25-29,122,13
2018,Females,30-34,221,23.5
2018,Females,35-39,280,32.4
2018,Females,40-44,365,45.6
2018,Females,45-49,464,54.4
2018,Females,50-54,522,67
2018,Females,55-59,619,79.4
2018,Females,60-64,717,102.8
2018,Females,65-69,751,121.7
2018,Females,70-74,723,139.7
2018,Females,75-79,575,157
2018,Females,80-84,410,153.3
2018,Females,85-89,339,184.9
2018,Females,90+,214,165.8
